Login ID,Department,Email,Phone
jsmith,Engineering,jsmith@company.com,555-0101
john.smith,Engineering,john.smith@company.com,555-0102
maryj,Marketing,maryj@company.com,555-0201
mary.johnson,Marketing,mary.johnson@company.com,555-0202
rwilliams,Sales,rwilliams@company.com,555-0301
robert.williams,Sales,robert.williams@company.com,555-0302
sarahd,HR,sarahd@company.com,555-0401
sarah.davis,HR,sarah.davis@company.com,555-0402
mbrown,IT,mbrown@company.com,555-0501
michael.b,IT,michael.b@company.com,555-0502
jwilson,Finance,jwilson@company.com,555-0601
jennifer.w,Finance,jennifer.w@company.com,555-0602
dmiller,Legal,dmiller@company.com,555-0701
david.m,Legal,david.m@company.com,555-0702
eanderson,Operations,eanderson@company.com,555-0801
emily.a,Operations,emily.a@company.com,555-0802
jtaylor,Research,jtaylor@company.com,555-0901
james.t,Research,james.t@company.com,555-0902
ethomas,Support,ethomas@company.com,555-1001
elizabeth.t,Support,elizabeth.t@company.com,555-1002
unused1,Testing,test1@company.com,555-9001
unused2,Testing,test2@company.com,555-9002
